sessionID,playerID,gameType,difficultyLevel,sessionDuration,score,deaths,completed,timestamp,victory,combosExecuted,perfectDodges,hitsDealt,hitsTaken,playerAccuracy,avgReactionTime,combatEfficiency,damagePerSecond,damageIntakeRate,survivalRate,comboRate,dodgeRate,reactionScore,combatPerformanceIndex,efficiencyPerAccuracy
eda58c6f-94d3-44d3-86d9-bf4a901af2e5,13,Fighting,Hard,30.71,1800,1,True,26/1/2026 1:55,False,3.0,10.0,10.0,8.0,1.0,0.4190559,1.1111111111111112,0.32562683165092804,0.2605014653207424,0,5.861282969716705,19.53760989905568,2.3806355296997377,0.478822566774374,1.0101010101010102
8a2425b7-1c2e-4a41-8c47-8668711b0823,14,Fighting,Easy,17.65,2405,0,True,26/1/2026 2:47,True,5.0,4.0,10.0,3.0,0.9090909,1.245609,2.5,0.56657223796034,0.16997167138810199,1,16.997167138810198,13.59773371104816,0.8021761434419293,0.51042296744074,2.4774774997970943
e5428b63-3824-4c52-9844-a5f20a983208,14,Fighting,Medium,46.42,3192,0,True,26/1/2026 2:48,True,2.0,16.0,13.0,6.0,0.6842105,0.2871401,1.8571428571428572,0.2800517018526497,0.12925463162429987,1,2.5850926324859973,20.68074105988798,3.4705339520601264,0.3897023548183517,2.3681688234764224
0291361d-f0c7-4819-a541-1e77b8601eac,14,Fighting,Hard,44.41,2523,1,True,26/1/2026 2:49,False,5.0,17.0,11.0,8.0,0.8461539,0.3188454,1.2222222222222223,0.24769196126998425,0.1801396081963522,0,6.755235307363208,22.967800045034902,3.126510495383082,0.4613591079114968,1.2917795109466044
440aa5cf-fca1-4194-90ce-69cdc212736f,15,Fighting,Easy,21.97,2455,0,True,26/1/2026 2:56,True,4.0,5.0,10.0,1.0,0.9090909,0.8588012,5.0,0.4551661356395084,0.04551661356395084,1,10.923987255348202,13.654984069185252,1.1630595537666149,0.53396189841715,4.954954999594189
b3fb3729-1fe4-46b4-80ed-56d601ae16fc,15,Fighting,Medium,41.05,2883,0,True,26/1/2026 2:57,True,6.0,10.0,13.0,2.0,0.8666667,0.2089355,4.333333333333333,0.31668696711327654,0.048721071863581,1,8.76979293544458,14.6163215590743,4.76336779629934,0.4995096761357319,4.482758466111777
df1c59af-510a-4782-9cd4-73fb810e0796,15,Fighting,Hard,64.01,3817,0,True,26/1/2026 2:59,True,10.0,19.0,20.0,3.0,0.8333333,0.2649086,5.0,0.3124511795032026,0.04686767692548039,1,9.373535385096078,17.809717231682548,3.7606907034973673,0.5279187713869894,5.3571430484693945
df39e7e2-2037-45cd-9709-3c0a5617c150,16,Fighting,Easy,19.53,2300,0,True,26/1/2026 3:20,True,6.0,2.0,10.0,1.0,1.0,1.399716,5.0,0.5120327700972862,0.05120327700972862,1,18.433179723502302,6.1443932411674345,0.7139205948957534,0.5578137513621384,4.545454545454545
f0b8ce06-66ab-444c-b98d-442190c41ba3,16,Fighting,Medium,37.56,2856,0,True,26/1/2026 3:21,True,6.0,10.0,13.0,2.0,0.8125,0.3619781,4.333333333333333,0.34611288604898827,0.05324813631522896,1,9.584664536741213,15.97444089456869,2.7549871466074674,0.49622262499658665,4.748858447488584
b02c80bf-b927-4238-b1ec-ebbe916866eb,16,Fighting,Hard,60.23,2344,1,True,26/1/2026 3:22,False,8.0,15.0,16.0,8.0,0.8888889,0.2064321,1.7777777777777777,0.2656483479993359,0.13282417399966795,0,7.969450439980077,14.942719574962643,4.820854631467357,0.4446575908433199,1.7977527887892946
