sessionID,playerID,gameType,difficultyLevel,sessionDuration,score,deaths,completed,timestamp,lapsCompleted,bestLapTime,avgLapTime,totalRaceTime,collisions,maxSpeed,avgSpeed,consistency,feedback,speedEfficiency,collisionRate,lapTimeVariance,completionRate,drivingSmoothness,timeEfficiency,speedConsistencyScore,racingPerformanceIndex,cleanRacingScore
df11dac9-efbc-4494-8531-21ee8c019e9b,44,Racing,Medium,119.06,100,0,True,5/2/2026 16:45,3.0,39.05998,39.68602,119.0581,20.0,40.0,38.79158,0.9879693,TooHard,0.9697895000000001,5.0,0.6260399999999962,1,0.19607843137254904,0.9817513790019711,0.9581222534623501,0.92482764,0.6875
8fd4a996-fcb0-4821-85f2-b2d01defe98f,45,Racing,Medium,117.12,800,0,True,5/2/2026 16:57,3.0,38.39996,39.0396,117.1188,6.0,40.0,39.52096,0.9866265,Balanced,0.988024,1.5,0.63964,1,0.625,0.9811025150997966,0.974810661036,0.9736451500000001,0.90625
5e0f3116-f495-4302-855c-4a43ac49abc0,46,Racing,Medium,121.9,150,0,True,5/2/2026 17:00,3.0,39.01999,40.63203,121.8961,19.0,40.0,37.95305,0.9493591,TooHard,0.94882625,4.75,1.6120400000000004,1,0.2061855670103093,0.9579682132218796,0.900776834756375,0.9100806049999999,0.703125
bd70d05f-b8df-455a-bbfd-7eea745e24d1,47,Racing,Medium,12.8,0,1,False,5/2/2026 17:05,0.0,0.0,0.0,12.80023,6.0,40.0,34.63194,1.0,TooHard,0.8657985,6.0,0.0,0,0.1639344262295082,0.0,0.8657985,0.68473955,0.0
2d2c0c1f-f8e1-4b89-a7ba-77ef0a4f4bde,48,Racing,Medium,116.84,1050,0,True,5/2/2026 17:07,3.0,38.43994,38.94623,116.8387,1.0,40.0,39.39544,0.9857502,TooEasy,0.984886,0.25,0.5062899999999999,1,2.857142857142857,0.9844725086135075,0.9708515714772,0.9880658600000001,0.984375
97c52542-b16c-41b8-bb28-e005f8a858cb,49,Racing,Medium,12.2,0,1,False,5/2/2026 17:08,0.0,0.0,0.0,12.1958,12.0,40.0,26.75772,1.0,TooHard,0.668943,12.0,0.0,0,0.08264462809917356,0.0,0.668943,0.5506829,0.0
fa9f9d4c-e1ca-4623-a1fc-0341f4fb7c31,50,Racing,Medium,115.84,1000,0,True,5/2/2026 17:10,3.0,38.20007,38.61212,115.8364,2.0,40.0,39.55988,0.9913676,TooEasy,0.988997,0.5,0.4120500000000007,1,1.6666666666666667,0.9867728762981722,0.9804595822972,0.98785938,0.96875
8d18b12f-b09b-414e-ac86-6163cc4c5512,51,Racing,Medium,119.21,750,0,True,7/2/2026 9:25,3.0,39.22,39.7382,119.2146,7.0,40.0,38.83656,0.9900852,Balanced,0.9709139999999999,1.75,0.5182000000000002,1,0.5405405405405405,0.9844822306228694,0.9612875818728,0.96642476,0.890625
b7e5c93c-b041-4f25-a99c-b2503ce895d8,52,Racing,Medium,115.38,1000,0,True,7/2/2026 9:40,3.0,37.99998,38.45947,115.3784,2.0,40.0,39.70343,0.9900318,TooEasy,0.9925857499999999,0.5,0.4594900000000024,1,1.6666666666666667,0.985490205129894,0.98269145672685,0.9885352650000001,0.96875
005a21e3-2dce-4848-9cc6-22d9d6d92b35,53,Racing,Medium,115.23,1000,0,True,7/2/2026 9:42,3.0,37.61998,38.41078,115.2323,2.0,40.0,39.33089,0.9778365,TooEasy,0.98327225,0.5,0.7908000000000044,1,1.6666666666666667,0.9768688143943071,0.961479495487125,0.9820826250000001,0.96875
352fc7f5-702c-455f-a377-ad2065d57789,54,Racing,Medium,114.03,1000,0,True,7/2/2026 9:44,3.0,37.75998,38.01083,114.0325,2.0,40.0,39.6884,0.9927835,TooEasy,0.99221,0.5,0.2508499999999998,1,1.6666666666666667,0.9907939554189714,0.9850497165350001,0.98924805,0.96875
77046f9b-9fac-46e7-98eb-b5ee370902fa,55,Racing,Medium,127.76,0,0,True,7/2/2026 9:58,3.0,39.13998,42.58561,127.7568,28.0,40.0,35.88207,0.8878401,TooHard,0.8970517499999999,7.0,3.4456300000000013,1,0.14084507042253522,0.9169361759150214,0.796438515425175,0.8479675550000001,0.5625
5a649775-7f33-42a9-acaa-458403bd9006,56,Racing,Medium,121.56,300,0,True,7/2/2026 10:00,3.0,39.31995,40.51935,121.558,16.0,40.0,37.97737,0.9728134,TooHard,0.94943425,4.0,1.1994000000000042,1,0.24390243902439027,0.9680103202045329,0.9236223608189501,0.926674295,0.75
faa87286-c6cc-43c0-b429-6944e10d653d,57,Racing,Medium,117.23,800,0,True,7/2/2026 10:03,3.0,38.55994,39.07782,117.2335,6.0,40.0,39.12,0.9902815,Balanced,0.978,1.5,0.5178800000000052,1,0.625,0.9842288315174248,0.968495307,0.97173445,0.90625
35dc225b-c71b-4761-a372-5f87fa5a27c9,58,Racing,Medium,120.36,400,0,True,7/2/2026 10:05,3.0,39.83594,40.11863,120.3559,14.0,40.0,38.30735,0.9917994,TooHard,0.95768375,3.5,0.28269000000000233,1,0.2777777777777778,0.9904847579343204,0.9498301686397499,0.9410949449999999,0.78125
